,Unnamed: 0,Star_name,Distance,Mass,Radius,Luminosity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
86,86,WR 102,"018,134",19,0.39,"282,000",CoRoT-21,b,corot-21 b,Transit,0,1,2.72474,0.00014,-0.00014,0.0,0.0417,0.0011,-0.0011,0.0,0.0,0.0,86.8,2.1,-2.1,0.0,2.26,0.31,-0.31,0.0,Mass,1.3,0.14,-0.14,0.0,1.36,0.48,-0.48,0.0,0,0,0,0,06h44m12.588s,101.05245,-00d17m56.868s,-0.29913,1398.83,286.45,-286.45,0,1398.83,286.45,-286.45,0.0,16.0,,0.0,V (Johnson),15.856,,0.0,6200.0,100.0,-100.0,0.0,1.29,0.09,-0.09,0.0,1.95,0.21,-0.21,0.0,2018-12-06,CoRoT
87,87,VFTS 352,"0164,000",57.48,14.47,"330,000",CoRoT-22,b,corot-22 b,Transit,0,1,9.75598,0.00011,-0.00011,0.0,0.092,0.0014,-0.0014,0.0,0.077,0.0,89.749,0.032,-0.9,0.0,0.038,0.044,-0.028,0.0,Mass,0.435,0.015,-0.035,0.0,0.249,1.0,-0.097,0.0,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.0,25.0,-42.0,0,638.47,11.31,-11.31,0.0,13.944,0.083,0.0,V (Johnson),13.73,,0.0,5939.0,54.0,-120.0,0.0,1.1,0.05,-0.05,0.0,1.14,0.04,-0.09,0.0,2014-08-21,CoRoT
88,88,YBP 1194,"02,772",1.01,0.99,0.98,CoRoT-23,b,corot-23 b,Transit,0,1,3.6313,0.0001,-0.0001,0.0,0.048,0.004,-0.004,0.0,0.16,0.0,85.7,2.6,-1.5,0.0,2.8,0.3,-0.3,0.0,Mass,1.05,0.13,-0.13,0.0,3.0,1.1,-1.1,0.0,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.0,50.0,-50.0,0,1092.4,45.9,-45.9,0.0,15.63,0.07,0.0,V (Johnson),15.068,,0.0,5900.0,100.0,-100.0,0.0,1.14,0.08,-0.08,0.0,1.61,0.18,-0.18,0.0,2014-05-14,CoRoT
89,89,Gliese 1214,047.5,0.16,0.21,0.0033,CoRoT-24,b,corot-24 b,Transit,0,2,5.1134,0.0006,-0.0006,0.0,0.056,0.002,-0.002,0.0,0.0,0.0,86.5,2.0,-2.0,0.0,0.018,,,1.0,Mass,0.33,0.04,-0.04,0.0,0.9,,,1.0,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.0,70.0,-70.0,0,601.22,16.02,-16.02,0.0,,,,,15.18,,0.0,4950.0,150.0,-150.0,0.0,0.91,0.09,-0.09,0.0,0.86,0.09,-0.09,0.0,2018-05-31,CoRoT
90,90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",CoRoT-24,c,corot-24 c,Transit,0,2,11.759,0.0063,-0.0063,0.0,0.098,0.003,-0.003,0.0,0.0,0.0,89.0,1.0,-1.6,0.0,0.088,0.035,-0.035,0.0,Mass,0.44,0.04,-0.04,0.0,1.3,0.5,-0.4,0.0,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.0,70.0,-70.0,0,601.22,16.02,-16.02,0.0,,,,,15.18,,0.0,4950.0,150.0,-150.0,0.0,0.91,0.09,-0.09,0.0,0.86,0.09,-0.09,0.0,2014-06-11,CoRoT
91,91,VB 10,018.72,0.075,0.10,0.0004,CoRoT-25,b,corot-25 b,Transit,0,1,4.86069,6e-05,-6e-05,0.0,0.0578,0.002,-0.0009,0.0,0.0,0.0,84.5,0.8,-0.3,0.0,0.27,0.04,-0.04,0.0,Mass,1.08,0.3,-0.1,0.0,0.15,0.15,-0.06,0.0,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.0,85.0,-25.0,0,1137.85,44.95,-44.95,0.0,,,,,14.711,,0.0,6040.0,90.0,-90.0,0.0,1.09,0.11,-0.05,0.0,1.19,0.14,-0.03,0.0,2014-05-14,CoRoT
92,92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",CoRoT-26,b,corot-26 b,Transit,0,1,4.20474,5e-05,-5e-05,0.0,0.0526,0.001,-0.001,0.0,0.0,0.0,86.8,2.2,-1.0,0.0,0.52,0.05,-0.05,0.0,Mass,1.26,0.13,-0.07,0.0,0.28,0.09,-0.07,0.0,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.0,205.0,-110.0,0,,,,,,,,,15.468,,0.0,5590.0,100.0,-100.0,0.0,1.09,0.06,-0.06,0.0,1.79,0.18,-0.09,0.0,2014-05-14,CoRoT
93,93,TRAPPIST-1,039.6,0.089,0.12,0.0005,CoRoT-27,b,corot-27 b,Transit,0,1,3.57532,6e-05,-6e-05,0.0,0.0476,0.0066,-0.0066,0.0,0.065,1.0,86.7,1.2,-0.87,0.0,10.39,0.55,-0.55,0.0,Mass,1.007,0.044,-0.044,0.0,12.6,1.92,-1.67,0.0,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,66.44,-66.44,0,1035.15,66.44,-66.44,0.0,15.54,,0.0,V (Johnson),15.39,,0.0,5900.0,120.0,-120.0,0.0,1.05,0.11,-0.11,0.0,1.08,0.18,-0.06,0.0,2014-05-14,CoRoT
94,94,2MASS J0523-1403,040.3,0.07,0.086,0.00013,CoRoT-28,b,corot-28 b,Transit,0,1,5.20851,0.00038,-0.00038,0.0,0.0603,0.005,-0.005,0.0,0.047,0.0,88.1,0.8,-0.8,0.0,0.484,0.087,-0.087,0.0,Mass,0.955,0.066,-0.066,0.0,0.69,0.27,-0.27,0.0,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560.0,70.0,-70.0,0,783.18,14.95,-14.95,0.0,,,,,13.412,,0.0,5150.0,100.0,-100.0,0.0,1.01,0.14,-0.14,0.0,1.78,0.11,-0.11,0.0,2015-04-16,CoRoT
95,95,WISE 0855−0714,07.27,0.003,?,?,CoRoT-29,b,corot-29 b,Transit,0,1,2.85057,6e-06,-6e-06,0.0,0.0386,0.0059,-0.0059,0.0,0.082,0.0,87.3,2.7,-2.7,0.0,0.85,0.2,-0.2,0.0,Mass,0.9,0.16,-0.16,0.0,1.45,0.74,-0.74,0.0,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765.0,50.0,-50.0,0,822.62,42.4,-42.4,0.0,,,,,15.239,,0.0,5260.0,100.0,-100.0,0.0,0.97,0.14,-0.14,0.0,0.9,0.12,-0.12,0.0,2015-04-16,CoRoT
96,96,Icarus,"014,400,000,000",33,?,"850,000",CoRoT-3,b,corot-3 b,Transit,0,1,4.2568,5e-06,-5e-06,0.0,,,,,0.0,0.0,85.9,0.8,-0.8,0.0,21.66,1.0,-1.0,0.0,Mass,1.01,0.07,-0.07,0.0,26.4,5.6,-5.6,0.0,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680.0,160.0,-160.0,0,784.49,30.6,-30.6,0.0,13.292,0.02,0.0,V (Johnson),13.219,,0.0,6740.0,140.0,-140.0,0.0,1.37,0.09,-0.09,0.0,1.56,0.09,-0.09,0.0,2014-05-14,CoRoT
